epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.08175,4.00756,4.26307,2.33038,0.60855,0.15747,0.12046,0.03173,2.85874,3.20371,1.69959,0.0829,0.0019,0.0019
2,16.7404,2.5696,2.31638,1.40145,0.2802,0.54914,0.39626,0.13935,2.19632,4.56507,1.28483,0.064899,0.00389905,0.00389905
3,24.6029,2.23044,1.93608,1.20062,0.35594,0.44839,0.30957,0.08748,2.23233,2.63477,1.29795,0.0468942,0.00589424,0.00589424
4,32.0725,2.16465,1.83845,1.18667,0.50048,0.54976,0.50349,0.18287,2.00289,1.99717,1.23219,0.0288826,0.00788265,0.00788265
5,39.7525,2.15058,1.794,1.17992,0.69327,0.26463,0.22653,0.07657,2.10906,6.46864,1.25435,0.0108614,0.00986136,0.00986136
6,47.6348,2.14226,1.8023,1.17941,0.22374,0.46717,0.29485,0.08293,2.30717,21.0578,1.31244,0.00993906,0.00993906,0.00993906
7,55.4603,2.07588,1.67434,1.16417,0.38459,0.40252,0.32172,0.11337,2.16579,18.1128,1.34539,0.00991232,0.00991232,0.00991232
8,63.1171,2.04704,1.60192,1.16657,0.39928,0.40864,0.32361,0.09173,2.26331,5.08844,1.34305,0.00988079,0.00988079,0.00988079
9,70.6263,2.0331,1.55268,1.15212,0.53187,0.43878,0.41754,0.15084,2.13784,3.97789,1.25793,0.00984449,0.00984449,0.00984449
10,78.147,2.02835,1.53526,1.16334,0.51394,0.44546,0.40081,0.13328,2.40397,2.78241,1.41047,0.00980345,0.00980345,0.00980345
11,85.735,1.99695,1.50546,1.15103,0.55379,0.39165,0.39025,0.14471,2.13719,3.47093,1.27643,0.00975773,0.00975773,0.00975773
12,93.5172,1.98479,1.44817,1.14473,0.49776,0.34793,0.31812,0.10283,2.35578,2.68351,1.47164,0.00970736,0.00970736,0.00970736
13,101.315,1.9593,1.45246,1.13056,0.43816,0.43984,0.37367,0.12619,2.06563,2.58463,1.29924,0.00965239,0.00965239,0.00965239
14,108.981,1.95097,1.43865,1.13252,0.60329,0.49324,0.50091,0.1735,2.14528,2.27446,1.24405,0.00959289,0.00959289,0.00959289
15,116.381,1.9222,1.38169,1.1261,0.61155,0.51963,0.51591,0.19176,2.10817,1.70195,1.25046,0.00952889,0.00952889,0.00952889
16,123.906,1.92893,1.39562,1.12728,0.52545,0.51907,0.45569,0.18422,1.94453,1.82872,1.16686,0.00946048,0.00946048,0.00946048
17,131.379,1.92052,1.36286,1.11374,0.61922,0.55179,0.55502,0.21793,1.99144,1.70763,1.20016,0.00938772,0.00938772,0.00938772
18,138.916,1.89179,1.37033,1.12691,0.60209,0.47159,0.48304,0.1729,2.15774,1.82108,1.22168,0.00931067,0.00931067,0.00931067
